OPEX,Capex_RoB,Capex_MCS,Capex_100GL,CAPEX
2450.2200000000003,836.0,36.05,1708.0,2580.05
2450.2200000000003,0.0,2.625,1984.0,1986.625
2450.2200000000003,0.0,4.375,2384.0,2388.375
2450.2200000000003,0.0,14.874999999999998,2940.0,2954.875
2450.2200000000003,0.4487723999999993,14.9835025375,3721.538398754808,3736.970673692308
2486.36,15.311012059999989,25.55976250625,4839.082548533811,4879.9533231000605
2523.7900000000004,30.154159189999973,33.124132519625,6392.072498434678,6455.350790144303
2668.1400000000003,37.64783953720004,47.8796055948875,8588.544116400943,8674.07156153303
2860.98,39.67484650666002,67.13224220654874,11625.878238038422,11732.68532675163
3187.05,86.86482019351598,93.04717829143712,15879.647892513483,16059.559890998436
